train_loss,val_accuracy
1.249518206986514,79.57926221335993
0.9266993186690591,81.0159521435693
0.8914666631005027,73.36689930209371
0.8584843050349843,74.19940179461615
0.862376023422588,80.88833499501496
0.8622063951058822,78.10667996011964
0.8324832276864486,69.59521435692922
0.8348713723095981,78.43968095712862
0.8216723853891547,72.98803589232303
0.8318875681270252,74.2642073778664
0.827370361848311,70.19840478564308
0.8322669809514825,81.4975074775673
0.8517797058278864,75.27417746759721
0.8370788747614081,74.80757726819542
0.8489123539491134,75.40378863409771
0.8862014889717102,83.8654037886341
1.1569700089367954,66.74077766699901
0.9723904923959212,83.93419740777667
0.9111467296426946,79.64007976071785
0.8963224356824702,62.760717846460615
0.8787200667641379,65.89531405782652
0.8613855470310557,73.86440677966101
0.859486174583435,67.64506480558325
0.8493982250040227,68.78464606181456
0.8472822893749584,71.36889332003987
0.8362864884463224,63.69192422731805
0.8143084601922469,66.99002991026919
0.8232631184838035,73.12362911266202
0.8188688440756364,71.79960119641076
0.8020426923578435,69.9322033898305
0.8048993630842729,76.1555333998006
0.801606670292941,66.53639082751745
0.7889571005647833,55.2382851445663
0.7914637728170915,75.56131605184447
0.7976469852707603,65.938185443669
0.7863762367855419,72.87736789631107
0.775729775428772,70.36689930209371
0.778064489364624,64.1296111665005
0.7656744057481939,74.93718843469591
0.7738193013451317,70.0677966101695
0.7666030818765813,74.08673978065802
0.7982200785116715,59.383848454636095
1.1648274540901185,83.99601196410768
4.96794629313729,84.06081754735793
8.491247233477505,50.91824526420738
338.26866722106934,48.902293120638085
262.4831039428711,84.06081754735793
60.99792008833452,84.06081754735793
14.903724431991577,83.97208374875373
13.25797608982433,71.19441674975074
9.918443619121204,67.20638085742772
10.088258049704812,65.04985044865404
9.899589755318381,67.44167497507478
9.831116520274769,67.67696909272183
9.973179010911421,68.72881355932203
9.812139762531627,66.0049850448654
9.910532179745761,65.03190428713859
9.71138612573797,65.02193419740777
9.795239032398571,66.4506480558325
9.908194255828857,67.63908275174477
9.833909927714954,65.580259222333
9.891513573039662,66.29910269192423
9.887297318198463,64.06979062811565
10.0122858914462,63.60518444666002
9.830071154507724,65.86440677966101
9.851153859225187,66.22632103688933
9.987972649660977,64.72482552342971
9.902840874411844,66.3000997008973
9.970351167158647,66.07976071784645
9.925791671059349,65.580259222333
9.956316289034756,67.25024925224326
9.937912490151145,63.530408773678964
9.907643110101873,68.28215353938185
9.884275505759499,66.00598205383848
9.792064987529407,65.4297108673978
9.972803514653986,65.25922233300099
9.85428976579146,67.13958125623131
9.957488242062656,64.81256231306082
9.918885404413397,66.07876370887338
9.888773883472789,64.85643070787637
9.820279208096592,65.85842472582253
9.779251618818803,67.74975074775674
9.857419534163041,62.76470588235294
9.839136435768822,66.00299102691925
10.077691182223234,65.580259222333
9.92368049621582,64.14257228315054
9.85696494362571,65.37387836490528
9.898474597930909,66.07876370887338
10.026724087108265,64.00697906281157
9.949206577647816,64.75573280159522
9.8617750861428,65.91625124626121
10.103473091125489,65.5333998005982
9.93704888603904,64.35094715852442
9.913622760772705,66.15254237288136
9.849484599720348,67.0468594217348
9.823158073425294,65.8035892323031
9.88184682672674,62.07876370887338
10.001010556654496,65.85842472582253
9.881104001131925,64.93918245264207
9.931920693137428,66.56630109670986
